Brand,quantity,Prices,Price,ean13,description,name,image,option,category
Saint Laurent,254,123.75,495,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Pink / Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leopard print leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Elastic gussets at sides of tongue            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Spain;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           335972401           </span>    </span>,Saint Lanrent pink and black leopard print leather slip on loafers,/sl/335972401.jpg|||/sl/335972401_alt02.jpg|||/sl/335972401_alt03.jpg|||/sl/335972401_alt04.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Saint Laurent pink and black leopard print leather slip on loafers
Saint Laurent,254,123.75,495,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Silver            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Glitter canvas upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Canvas;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Spain;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           336175301           </span>    </span>,Saint Laurent silver glitter canvas slip on loafers,/sl/336175301.jpg|||/sl/336175301_alt01.jpg|||/sl/336175301_alt02.jpg|||/sl/336175301_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Saint Laurent silver glitter canvas slip on loafers
Saint Laurent,254,160,640,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Pink            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Smooth leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe with perforation            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Lace up vamp            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Fastening tape at padded opening            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           345532601           </span>    </span>,Saint Laurent pink leather high top sneakers,/sl/345532601.jpg|||/sl/345532601_alt01.jpg|||/sl/345532601_alt02.jpg|||/sl/345532601_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Saint Laurent pink leather high top sneakers
Saint Laurent,254,123.75,495,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Gold            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Glitter canvas upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Canvas;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Spain;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           336175201           </span>    </span>,Saint Laurent gold glitter canvas slip on loafers,/sl/336175201.jpg|||/sl/336175201_alt01.jpg|||/sl/336175201_alt02.jpg|||/sl/336175201_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Saint Laurent gold glitter canvas slip on loafers
Saint Laurent,254,198.75,795,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Studded detailing; Slip on            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Spain;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           347674901           </span>    </span>,Saint Laurent black leather studded slip-on sneakers,/sl/347674901.jpg|||/sl/347674901_alt01.jpg|||/sl/347674901_alt02.jpg|||/sl/347674901_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Saint Laurent black leather studded slip-on sneakers
Saint Laurent,254,123.75,495,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            White / Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leopard print leather upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Elastic gussets at sides of tongue            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                                                 <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Spain;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           335972501           </span>    </span>,Saint Laurent white and black leopard print leather slip on loafers,/sl/335972501.jpg|||/sl/335972501_alt01.jpg|||/sl/335972501_alt02.jpg|||/sl/335972501_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Saint Laurent white and black leopard print leather slip on loafers
Saint Laurent,254,223.75,895,,<span class="pdpBulletContainer">            <span class="pdpBulletHeaderText">            color:            </span>            <span class="pdpBulletContentsText">            Black            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Suede upper            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rounded toe            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Lace-up vamp with gold logo stamp at leather tongue            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Fringe accent at cushioned ankle            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Leather lining            </span>            </span>                                                                <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Rubber sole            </span>            </span>                                                                                                                                                         <span class="pdpBulletContainer">            <span class="pdpBulletContentsText">            Suede;            </span>            </span>                                                                                       <span class="pdpBulletContainer">        <span class="pdpBulletContentsText">           Italy;           </span>        </span>    <span class="pdpBulletContainer">           <span class="pdpBulletHeaderText">           style#           </span>          <span class="pdpBulletContentsText">           357031001           </span>    </span>,Saint Laurent white and black leopard print leather slip on loafersblack suede fringed high-top sneakers,/sl/357031001.jpg|||/sl/357031001_alt01.jpg|||/sl/357031001_alt02.jpg|||/sl/357031001_alt03.jpg,1:US 6 (EUR 36)|||1:US 6.5 (EUR 36.5)|||1:US 7 (EUR 37)|||1:US 7.5 (EUR 37.5)|||1:US 8 (EUR 38)|||1:US 8.5 (EUR 38.5)|||1:US 9 (EUR 39)|||1:US 9.5 (EUR 39.5)|||1:US 10 (EUR 40)|||1:US 10.5 (EUR 40.5)|||1:US 11 (EUR 41),Home|||Women|||Sneakers|||Saint Laurent black suede fringed high-top sneakers
